Date,Open,High,Low,Close,Adj Close,Volume
2023-08-17,3.700000,4.060000,3.680000,3.900000,3.900000,2911400
2023-08-18,3.870000,3.930000,3.785000,3.850000,3.850000,1342500
2023-08-21,3.870000,3.945000,3.770000,3.900000,3.900000,1409000
2023-08-22,3.920000,3.930000,3.690000,3.770000,3.770000,1362300
2023-08-23,3.730000,3.820000,3.730000,3.770000,3.770000,962400
2023-08-24,3.820000,3.860000,3.650000,3.690000,3.690000,1653800
2023-08-25,3.680000,3.815000,3.640000,3.750000,3.750000,1046200
2023-08-28,3.800000,4.020000,3.789000,4.000000,4.000000,1231400
2023-08-29,3.960000,4.158000,3.940000,4.030000,4.030000,1193100
2023-08-30,4.010000,4.090000,3.925000,3.960000,3.960000,929700
2023-08-31,4.000000,4.020000,3.910000,3.920000,3.920000,698700
2023-09-01,3.940000,4.060000,3.910000,3.990000,3.990000,1061300
2023-09-05,3.960000,4.030000,3.820000,3.880000,3.880000,969300
2023-09-06,3.870000,3.960000,3.830000,3.900000,3.900000,1400900
2023-09-07,3.830000,3.890000,3.750000,3.800000,3.800000,972400
2023-09-08,3.800000,3.900000,3.715000,3.840000,3.840000,967300
2023-09-11,3.890000,3.935000,3.855000,3.890000,3.890000,850200
2023-09-12,3.860000,4.080000,3.860000,4.050000,4.050000,1446000
2023-09-13,4.050000,4.110000,3.870000,4.020000,4.020000,1417600
2023-09-14,4.030000,4.135000,3.800000,3.840000,3.840000,1554400
2023-09-15,3.860000,3.980000,3.760000,3.840000,3.840000,5379600
2023-09-18,3.840000,3.945000,3.780000,3.810000,3.810000,879900
2023-09-19,3.980000,4.320000,3.905000,4.140000,4.140000,5459600
2023-09-20,4.160000,4.380000,4.020000,4.040000,4.040000,2299900
2023-09-21,3.990000,4.020000,3.800000,3.810000,3.810000,2704100
2023-09-22,3.820000,3.980000,3.810000,3.920000,3.920000,1040900
2023-09-25,3.880000,3.880000,3.658000,3.770000,3.770000,1901800
2023-09-26,3.730000,3.861000,3.635000,3.640000,3.640000,1395300
2023-09-27,3.650000,3.760000,3.612000,3.700000,3.700000,1016500
2023-09-28,3.690000,3.760000,3.621000,3.710000,3.710000,1197500
2023-09-29,3.750000,3.880000,3.730000,3.800000,3.800000,938700
2023-10-02,3.810000,3.820000,3.700000,3.720000,3.720000,1017400
2023-10-03,3.730000,3.740000,3.600000,3.640000,3.640000,1328900
2023-10-04,3.640000,3.810000,3.620000,3.780000,3.780000,1057500
2023-10-05,3.780000,3.810000,3.665000,3.750000,3.750000,613700
2023-10-06,3.720000,3.780000,3.650000,3.720000,3.720000,921000
2023-10-09,3.670000,3.695000,3.250000,3.270000,3.270000,2769500
2023-10-10,3.300000,3.610000,3.230000,3.610000,3.610000,1784700
2023-10-11,3.630000,3.700000,3.400000,3.440000,3.440000,1464900
2023-10-12,3.430000,3.430000,3.230000,3.250000,3.250000,1364900
2023-10-13,3.230000,3.269000,3.043000,3.060000,3.060000,1945400
2023-10-16,3.060000,3.180000,2.975000,3.170000,3.170000,1599700
2023-10-17,3.150000,3.380000,3.130000,3.320000,3.320000,1111300
2023-10-18,3.280000,3.280000,3.080000,3.090000,3.090000,985500
2023-10-19,3.090000,3.110000,2.950000,2.990000,2.990000,1823700
2023-10-20,3.010000,3.040000,2.900000,2.930000,2.930000,1493400
2023-10-23,2.920000,2.920000,2.730000,2.740000,2.740000,3054400
2023-10-24,2.800000,3.050000,2.800000,2.870000,2.870000,1211800
2023-10-25,3.000000,3.010000,2.845000,2.920000,2.920000,1864900
2023-10-26,2.940000,3.330000,2.940000,3.250000,3.250000,2201800
2023-10-27,3.280000,3.410000,3.040000,3.050000,3.050000,1145300
2023-10-30,3.090000,3.275000,2.970000,3.240000,3.240000,1568500
2023-10-31,3.240000,3.380000,3.130000,3.310000,3.310000,1490100
2023-11-01,3.300000,3.510000,3.255000,3.470000,3.470000,1349800
2023-11-02,3.540000,3.800000,3.540000,3.770000,3.770000,1907500
2023-11-03,3.870000,4.320000,3.870000,4.140000,4.140000,4029700
2023-11-06,4.100000,4.190000,3.950000,4.010000,4.010000,1424800
2023-11-07,4.000000,4.080000,3.892000,3.970000,3.970000,1582500
2023-11-08,4.000000,4.140000,3.900000,4.090000,4.090000,1537000
2023-11-09,4.130000,4.350000,4.050000,4.130000,4.130000,2180900
2023-11-10,4.150000,4.350000,4.010000,4.310000,4.310000,1733200
2023-11-13,4.350000,4.470000,3.955000,4.000000,4.000000,3638500
2023-11-14,3.990000,3.990000,3.550000,3.770000,3.770000,4378300
2023-11-15,4.110000,4.940000,4.100000,4.660000,4.660000,8149700
2023-11-16,4.650000,4.745000,4.410000,4.570000,4.570000,2118800
2023-11-17,4.590000,4.890000,4.590000,4.830000,4.830000,2301100
2023-11-20,4.850000,4.890000,4.710000,4.780000,4.780000,1370100
