name,size,created_time,modified_time,is_text_based,is_scanned,page_count,has_images,has_tables,estimated_word_count
Berryessa_VerificationAnalysis_CR2.2.pdf,96418,315554400.0,1724604012.0844226,True,False,4,True,True,328
Berryessa_VerificationAnalysis_LD1.1.pdf,91719,315554400.0,1724604012.1192915,True,False,3,True,True,296
Berryessa_VerificationAnalysis_LD2.1.pdf,92683,315554400.0,1724604012.155828,True,False,3,True,True,276
Berryessa_VerificationAnalysis_NW1.3.pdf,85659,315554400.0,1724604012.1876915,True,False,2,True,True,319
Berryessa_VerificationAnalysis_QL1.2.pdf,103096,315554400.0,1724604012.2186992,True,False,5,True,True,358
Berryessa_VerificationAnalysis_RA3.4.pdf,87107,315554400.0,1724604012.2518768,True,False,2,True,True,285
CR2.2_22_R2_AgencyandCommunityParticipation.pdf,548542,315554400.0,1724604012.2927248,True,False,46,False,True,382
LD1.1_01_Sustainability Plan.pdf,925749,315554400.0,1724604012.3447635,True,False,40,True,True,77
LD1.1_02_Specification 01 35 74 Sustainability Plan.pdf,7562719,315554400.0,1724604012.4932685,True,False,21,True,True,97
LD1.1_03_VTA Sustainability Program.pdf,847157,315554400.0,1724604012.5293212,True,False,8,True,True,343
LD1.1_04_BART Sustainability Policy.pdf,715334,315554400.0,1724604012.56767,True,False,19,True,True,29
LD1.1_05_ENV_Green_Building_Policy.pdf,572715,315554400.0,1724604012.6033976,True,False,7,True,True,290
LD1.1_06-VTA Sustainable Landscaping Policy.pdf,642345,315554400.0,1724604012.6413474,True,False,4,True,True,267
LD1.1_07_Complete Streets-Policy-Adopted-Signed.pdf,1224494,315554400.0,1724604012.684553,False,True,12,True,True,0
LD1.1_08_BFS 01 81 13_Sustainability.pdf,243580,315554400.0,1724604012.71526,True,False,19,False,True,235
LD1.1_09_3Q 2012 Sustainability Report.pdf,96229565,315554400.0,1724604014.4824128,True,False,611,True,True,98
LD1.1_10_Phase 1 ECR Webaccess.pdf,553446,315554400.0,1724604014.5181744,False,True,3,True,True,0
LD1.1_11_Environmental Meeting Minutes 2017-12-11.pdf,207720,315554400.0,1724604014.5591455,True,False,2,True,True,252
